account_circle
[I 2023-10-21 03:00:58,164] A new study created in memory with name: no-name-083f0af8-5817-4963-ab59-2951f545829a
[I 2023-10-21 03:01:31,933] Trial 0 finished with value: 0.8906804749442768 and parameters: {'n_estimators': 11000, 'max_depth': 6, 'min_child_weight': 8, 'learning_rate': 0.046932258671955655, 'subsample': 0.7519790389899815, 'colsample_bytree': 0.26055855776343934, 'reg_alpha': 8.137093282823788, 'reg_lambda': 6.581230755902668, 'gamma': 0.7999999999999999}. Best is trial 0 with value: 0.8906804749442768.
[I 2023-10-21 03:24:51,300] Trial 29 finished with value: 0.9049942770751042 and parameters: {'n_estimators': 11000, 'max_depth': 7, 'min_child_weight': 7, 'learning_rate': 0.030135878408727227, 'subsample': 0.8779110361788531, 'colsample_bytree': 0.8571723399517092, 'reg_alpha': 1.5628100190042131, 'reg_lambda': 5.473028199165765, 'gamma': 0.8999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:25:23,802] Trial 30 finished with value: 0.9006382591046378 and parameters: {'n_estimators': 11500, 'max_depth': 8, 'min_child_weight': 7, 'learning_rate': 0.05047354877828712, 'subsample': 0.7992337097306974, 'colsample_bytree': 0.9180633468582063, 'reg_alpha': 2.46253692050467, 'reg_lambda': 6.659213696566177, 'gamma': 0.7999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:26:10,911] Trial 31 finished with value: 0.9059602154247771 and parameters: {'n_estimators': 11000, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.013616733866761096, 'subsample': 0.8529609249393918, 'colsample_bytree': 0.990866439010255, 'reg_alpha': 3.2919948862746065, 'reg_lambda': 4.469460792711243, 'gamma': 0.8999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:26:53,992] Trial 32 finished with value: 0.9064577878140431 and parameters: {'n_estimators': 11200, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.017528937552817914, 'subsample': 0.8491522083715656, 'colsample_bytree': 0.9257472087753671, 'reg_alpha': 1.1506234166556697, 'reg_lambda': 4.4825727714812675, 'gamma': 0.8999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:27:45,253] Trial 33 finished with value: 0.9071271062862858 and parameters: {'n_estimators': 11200, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.014408668044693835, 'subsample': 0.8483512824991991, 'colsample_bytree': 0.9400286260769835, 'reg_alpha': 1.056460441930136, 'reg_lambda': 5.941938359413544, 'gamma': 0.8999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:28:34,335] Trial 34 finished with value: 0.9069893294676763 and parameters: {'n_estimators': 11200, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.016094248444019674, 'subsample': 0.8416906669284415, 'colsample_bytree': 0.9287177208407286, 'reg_alpha': 1.0185439757574621, 'reg_lambda': 5.560738015234586, 'gamma': 0.8999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:29:54,547] Trial 35 finished with value: 0.9068489236866795 and parameters: {'n_estimators': 10100, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.00644151867104469, 'subsample': 0.8135081452841565, 'colsample_bytree': 0.9230083410596253, 'reg_alpha': 0.8275510049487329, 'reg_lambda': 5.877764969525186, 'gamma': 0.8999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:31:19,547] Trial 36 finished with value: 0.9059176991542247 and parameters: {'n_estimators': 10100, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.005744850647850003, 'subsample': 0.7781217213629236, 'colsample_bytree': 0.944295095141497, 'reg_alpha': 0.8413782081391761, 'reg_lambda': 5.766237814595467, 'gamma': 1.0}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:32:44,710] Trial 37 finished with value: 0.9047608328908999 and parameters: {'n_estimators': 9500, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.006218985604769577, 'subsample': 0.757032461919009, 'colsample_bytree': 0.8377835763468713, 'reg_alpha': 0.38231856744409987, 'reg_lambda': 6.5670836137227, 'gamma': 0.8999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:34:37,919] Trial 38 finished with value: 0.9068154725389872 and parameters: {'n_estimators': 10700, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.0026893798710509492, 'subsample': 0.8112512449419346, 'colsample_bytree': 0.9476063050767183, 'reg_alpha': 1.012243772594676, 'reg_lambda': 5.217968764773193, 'gamma': 0.8999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:35:58,542] Trial 39 finished with value: 0.9059896099107999 and parameters: {'n_estimators': 10200, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.0072561363093843765, 'subsample': 0.8154958367056654, 'colsample_bytree': 0.782870547038626, 'reg_alpha': 0.309492228690908, 'reg_lambda': 7.032203386491107, 'gamma': 0.7999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:37:02,223] Trial 40 finished with value: 0.9044819441174553 and parameters: {'n_estimators': 11300, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.011732097245419206, 'subsample': 0.7870313788784008, 'colsample_bytree': 0.8443589200660474, 'reg_alpha': 2.072969287378935, 'reg_lambda': 6.012393839994133, 'gamma': 0.8999999999999999}. Best is trial 26 with value: 0.9071607339774376.
[I 2023-10-21 03:38:45,262] Trial 41 finished with value: 0.907596178420531 and parameters: {'n_estimators': 10600, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.0034271606465498374, 'subsample': 0.842270230155392, 'colsample_bytree': 0.9323421967683383, 'reg_alpha': 1.0995970367740389, 'reg_lambda': 5.154259642478738, 'gamma': 0.8999999999999999}. Best is trial 41 with value: 0.907596178420531.
[I 2023-10-21 03:40:25,471] Trial 42 finished with value: 0.9074691899424633 and parameters: {'n_estimators': 10000, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.0034430511189269533, 'subsample': 0.8357564977726548, 'colsample_bytree': 0.9258648798012628, 'reg_alpha': 0.7988574949065238, 'reg_lambda': 5.664742828423327, 'gamma': 0.8999999999999999}. Best is trial 41 with value: 0.907596178420531.
[I 2023-10-21 03:42:09,942] Trial 43 finished with value: 0.9082108375025223 and parameters: {'n_estimators': 11100, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.0035426220152752295, 'subsample': 0.840804877339569, 'colsample_bytree': 0.9502996158807704, 'reg_alpha': 0.017619906473923974, 'reg_lambda': 5.429867647912393, 'gamma': 0.8999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:42:46,383] Trial 44 finished with value: 0.8935058726337496 and parameters: {'n_estimators': 10700, 'max_depth': 5, 'min_child_weight': 7, 'learning_rate': 0.0035167229107523, 'subsample': 0.8466828395395106, 'colsample_bytree': 0.861422264909888, 'reg_alpha': 0.09624217277966518, 'reg_lambda': 5.0958557749606745, 'gamma': 0.8999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:44:56,432] Trial 45 finished with value: 0.9037259351307484 and parameters: {'n_estimators': 11000, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.0010535136356969843, 'subsample': 0.887366279037101, 'colsample_bytree': 0.959342086489517, 'reg_alpha': 0.055664262163544365, 'reg_lambda': 6.1036550127317675, 'gamma': 1.0}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:46:15,912] Trial 46 finished with value: 0.9062527556131302 and parameters: {'n_estimators': 10400, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.004134397118780783, 'subsample': 0.8397251506033204, 'colsample_bytree': 0.7800915440978148, 'reg_alpha': 1.3056975790064143, 'reg_lambda': 5.105937490335777, 'gamma': 0.8999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:47:54,431] Trial 47 finished with value: 0.9072125379691252 and parameters: {'n_estimators': 9300, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.0029592675459200932, 'subsample': 0.861759709772381, 'colsample_bytree': 0.9020299557200746, 'reg_alpha': 0.5966244034400642, 'reg_lambda': 7.0026469230768695, 'gamma': 0.7999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:48:31,932] Trial 48 finished with value: 0.8952677610089121 and parameters: {'n_estimators': 8700, 'max_depth': 6, 'min_child_weight': 7, 'learning_rate': 0.0027375416549730606, 'subsample': 0.863447474296852, 'colsample_bytree': 0.8970951028161296, 'reg_alpha': 0.5759171304602866, 'reg_lambda': 7.106825731518264, 'gamma': 0.7999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:50:19,436] Trial 49 finished with value: 0.9038442000591711 and parameters: {'n_estimators': 9500, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.0015433835270747072, 'subsample': 0.8237128090820939, 'colsample_bytree': 0.8435247730596276, 'reg_alpha': 0.6563323148853091, 'reg_lambda': 6.497546474559693, 'gamma': 0.7999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:51:33,146] Trial 50 finished with value: 0.9059229186999868 and parameters: {'n_estimators': 9100, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.003210099051061606, 'subsample': 0.894030167684904, 'colsample_bytree': 0.7093415285520636, 'reg_alpha': 0.03702371596287157, 'reg_lambda': 7.422229036108845, 'gamma': 0.7999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:52:56,408] Trial 51 finished with value: 0.9072980617615956 and parameters: {'n_estimators': 8800, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.00450470292109972, 'subsample': 0.8405866495738011, 'colsample_bytree': 0.9542402510176351, 'reg_alpha': 1.3972423987117604, 'reg_lambda': 5.471983892777653, 'gamma': 0.8999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:54:12,123] Trial 52 finished with value: 0.9079289244628566 and parameters: {'n_estimators': 8600, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.00468665946496785, 'subsample': 0.8753883483566476, 'colsample_bytree': 0.9633804270232885, 'reg_alpha': 1.3693308024442292, 'reg_lambda': 5.416930416246865, 'gamma': 0.8999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:55:35,804] Trial 53 finished with value: 0.9073750462236831 and parameters: {'n_estimators': 8500, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.005113600488763941, 'subsample': 0.8338775538170813, 'colsample_bytree': 0.9757613316148281, 'reg_alpha': 1.3823890767632927, 'reg_lambda': 5.599392413815855, 'gamma': 0.7999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:56:58,014] Trial 54 finished with value: 0.9074613913270309 and parameters: {'n_estimators': 8200, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.0043727169866624276, 'subsample': 0.8366834573912597, 'colsample_bytree': 0.9675242057036736, 'reg_alpha': 1.3632663804997884, 'reg_lambda': 5.374969194888778, 'gamma': 0.8999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:58:05,056] Trial 55 finished with value: 0.9060840337963746 and parameters: {'n_estimators': 8000, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.0049883597511790456, 'subsample': 0.8235263036665664, 'colsample_bytree': 0.9728611159837821, 'reg_alpha': 1.902702913329812, 'reg_lambda': 4.957469854591448, 'gamma': 0.8999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:58:28,665] Trial 56 finished with value: 0.8818050710588959 and parameters: {'n_estimators': 8300, 'max_depth': 4, 'min_child_weight': 7, 'learning_rate': 0.003926213002067574, 'subsample': 0.8372112564992217, 'colsample_bytree': 0.996305168414472, 'reg_alpha': 1.483579309467584, 'reg_lambda': 5.522224246164057, 'gamma': 0.8999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 03:58:56,350] Trial 57 finished with value: 0.8975370928554736 and parameters: {'n_estimators': 7800, 'max_depth': 5, 'min_child_weight': 7, 'learning_rate': 0.007085122625318439, 'subsample': 0.8549918444569122, 'colsample_bytree': 0.9519372112171064, 'reg_alpha': 2.1384668329259138, 'reg_lambda': 4.245773987566564, 'gamma': 0.7999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 04:00:30,462] Trial 58 finished with value: 0.9063498775433158 and parameters: {'n_estimators': 8500, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.002436344058904957, 'subsample': 0.8302214650104445, 'colsample_bytree': 0.9690444398836823, 'reg_alpha': 1.3890492877129703, 'reg_lambda': 5.2769485744932645, 'gamma': 0.8999999999999999}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 04:01:27,548] Trial 59 finished with value: 0.9074480431063249 and parameters: {'n_estimators': 8200, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.005306734870821875, 'subsample': 0.8727932893812603, 'colsample_bytree': 0.8228022104487318, 'reg_alpha': 0.4334332069599186, 'reg_lambda': 4.667002704027452, 'gamma': 1.0}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 04:02:35,070] Trial 60 finished with value: 0.9034924947844457 and parameters: {'n_estimators': 7500, 'max_depth': 9, 'min_child_weight': 7, 'learning_rate': 0.00199736501253616, 'subsample': 0.8729317602464751, 'colsample_bytree': 0.8205857919437246, 'reg_alpha': 0.544460657747308, 'reg_lambda': 4.0711755003126, 'gamma': 1.0}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 04:03:54,794] Trial 61 finished with value: 0.9072037107961454 and parameters: {'n_estimators': 8200, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.0036787642650288896, 'subsample': 0.8576210886900609, 'colsample_bytree': 0.9023115940656183, 'reg_alpha': 1.83208303531555, 'reg_lambda': 4.817404783649351, 'gamma': 1.0}. Best is trial 43 with value: 0.9082108375025223.
[I 2023-10-21 04:04:56,641] Trial 62 finished with value: 0.9085141852209238 and parameters: {'n_estimators': 7900, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.005437715165503154, 'subsample': 0.889107591793083, 'colsample_bytree': 0.9660862101129748, 'reg_alpha': 0.7935148456860064, 'reg_lambda': 4.9029977978299435, 'gamma': 1.0}. Best is trial 62 with value: 0.9085141852209238.
[I 2023-10-21 04:05:47,305] Trial 63 finished with value: 0.908745595317441 and parameters: {'n_estimators': 7800, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.007583603460784732, 'subsample': 0.889538282199737, 'colsample_bytree': 0.9089512224672481, 'reg_alpha': 0.3899330687797143, 'reg_lambda': 4.839307460372757, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:06:37,708] Trial 64 finished with value: 0.9080260694204498 and parameters: {'n_estimators': 7700, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.007594385302447914, 'subsample': 0.8871547669266874, 'colsample_bytree': 0.9073901773783117, 'reg_alpha': 0.8522497327542541, 'reg_lambda': 5.03236414783292, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
[I 2023-10-21 04:07:25,433] Trial 65 finished with value: 0.9083661573679538 and parameters: {'n_estimators': 7700, 'max_depth': 10, 'min_child_weight': 7, 'learning_rate': 0.008234063841489298, 'subsample': 0.8887169516135222, 'colsample_bytree': 0.8887174669174811, 'reg_alpha': 0.811626972087575, 'reg_lambda': 4.940774495357679, 'gamma': 1.0}. Best is trial 63 with value: 0.908745595317441.
